year,gni_star,mdd,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5
1995,100888,85622,0,0,0,0,0
1996,108600,92592,0,0,0,0,0
1997,118235,101320,0,0,0,0,0
1998,126830,111076,0,0,0,0,0
1999,136584,120581,0,0,0,0,0
2000,148633,131569,0,0,0,0,0
2001,150694,136975,0,0,0,0,0
2002,153913,142110,0,0,0,0,0
2003,160271,148503,0,0,0,0,0
2004,170847,154675,0,0,0,0,0
2005,179419,168939,1,0,0,0,0
2006,187856,179379,1,0,0,0,0
2007,194281,187243,1,0,0,0,0
2008,185944,181191,1,0,0,0,0
2009,167911,160962,1,0,0,0,0
2010,168291,154127,1,0,0,0,0
2011,162978,151794,1,0,0,0,0
2012,159390,151925,1,0,0,0,0
2013,168957,154487,1,0,0,0,0
2014,184089,164797,0,1,0,0,0
2015,181062,174328,0,1,0,0,0
2016,188945,182828,0,1,0,0,0
2017,198627,189742,0,1,0,0,0
2018,207312,194852,0,1,1,0,0
2019,212597,200101,0,1,1,0,0
2020,204859,190774,0,1,1,0,0
2021,233281,206386,0,1,1,1,0
2022,248880,229866,0,1,1,0,0
