COUNTY,t-1,Persons,Change,Population,Percent
DUBLIN,43115,42160,-2.215006378,1458154,2.891326979
CORK,14180,13908,-1.91819464,584156,2.380870863
GALWAY,8383,8315,-0.811165454,277737,2.993839496
OFFALY,3057,3001,-1.831861302,83150,3.609140108
WICKLOW,4858,4761,-1.996706464,155851,3.054840842
TIPPERARY,5666,5586,-1.411930815,167895,3.327079425
MONAGHAN,2085,2038,-2.254196643,65288,3.121553731
SLIGO,2436,2401,-1.436781609,70198,3.420325365
WEXFORD,7342,7331,-0.149822937,163919,4.472330846
CLARE,4458,4500,0.942126514,127938,3.517328706
DONEGAL,9169,9030,-1.515977751,167084,5.404467214
MEATH,3955,3925,-0.758533502,220826,1.777417514
WESTMEATH,4101,3994,-2.609119727,96221,4.150861039
MAYO,5841,5715,-2.157164869,137970,4.142204827
LIMERICK,6693,6541,-2.271029434,209536,3.121659285
KILDARE,6189,6086,-1.664243012,247774,2.456270634
KERRY,6621,6729,1.631173539,156458,4.300834729
LOUTH,7498,7384,-1.520405441,139703,5.285498522
LONGFORD,2013,2012,-0.049677099,46751,4.303651259
GALWAY,8383,8315,-0.811165454,277737,2.993839496
CARLOW,2959,2871,-2.973977695,61968,4.633036406
CORK,14180,13908,-1.91819464,584156,2.380870863
LEITRIM,1756,1697,-3.359908884,35199,4.821159692
KILKENNY,2470,2422,-1.943319838,104160,2.325268817
LAOIS,3254,3199,-1.690227412,91877,3.481828967
ROSCOMMON,2005,1972,-1.645885287,70259,2.806757853
CAVAN,2891,2840,-1.764095469,81704,3.475962009
WATERFORD,5719,5612,-1.870956461,127363,4.406303243
