Month,All,Male,Female,LFAll,LFMale,LFFemale,LFAll1,LFMale1,LFFemale1,PerAll,PerMale,PerFemale
2021M01,189100,105000,84100,2401.1,1294.1,1107,2401100,1294100,1107000,7.875557036,8.113747006,7.597109304
2021M02,186400,103800,82500,2401.1,1294.1,1107,2401100,1294100,1107000,7.763108575,8.021018468,7.452574526
2021M03,183700,102400,81300,2401.1,1294.1,1107,2401100,1294100,1107000,7.650660114,7.912835175,7.344173442
2021M04,180600,100500,80100,2533.2,1362.7,1170.5,2533200,1362700,1170500,7.129322596,7.375064211,6.843229389
2021M05,176600,97900,78700,2533.2,1362.7,1170.5,2533200,1362700,1170500,6.971419548,7.18426653,6.723622384
2021M06,173100,95800,77200,2533.2,1362.7,1170.5,2533200,1362700,1170500,6.833254382,7.03016071,6.595472021
2021M07,171800,94200,77600,2620.3,1395.3,1225,2620300,1395300,1225000,6.556501164,6.751236293,6.334693878
2021M08,169800,92900,77000,2620.3,1395.3,1225,2620300,1395300,1225000,6.480174026,6.658066366,6.285714286
2021M09,167800,91600,76200,2620.3,1395.3,1225,2620300,1395300,1225000,6.403846888,6.564896438,6.220408163
2021M10,169800,92300,77600,2633.3,1396.2,1237.1,2633300,1396200,1237100,6.448182888,6.610800745,6.272734621
2021M11,169400,91800,77600,2633.3,1396.2,1237.1,2633300,1396200,1237100,6.432992823,6.574989257,6.272734621
2021M12,165500,89900,75600,2633.3,1396.2,1237.1,2633300,1396200,1237100,6.284889682,6.438905601,6.111066203
2022M01,163000,88400,74600,2632.5,1399.8,1232.7,2632500,1399800,1232700,6.191832858,6.315187884,6.051756307
2022M02,163100,88600,74500,2632.5,1399.8,1232.7,2632500,1399800,1232700,6.195631529,6.329475639,6.043644033
2022M03,180900,98600,82300,2632.5,1399.8,1232.7,2632500,1399800,1232700,6.871794872,7.043863409,6.676401395
2022M04,179300,97900,81300,2674.5,1423.4,1251.1,2674500,1423400,1251100,6.704056833,6.877897991,6.498281512
2022M05,177200,96600,80600,2674.5,1423.4,1251.1,2674500,1423400,1251100,6.625537484,6.786567374,6.442330749
2022M06,184600,97300,87300,2674.5,1423.4,1251.1,2674500,1423400,1251100,6.902224715,6.835745398,6.977859484
2022M07,183400,96700,86700,2673.4,1431.2,1242.2,2673400,1431200,1242200,6.86017805,6.756567915,6.979552407
2022M08,185200,97000,88200,2673.4,1431.2,1242.2,2673400,1431200,1242200,6.927508042,6.777529346,7.100305909
2022M09,184300,96700,87600,2673.4,1431.2,1242.2,2673400,1431200,1242200,6.893843046,6.756567915,7.052004508
2022M10,184600,97400,87200,2686.5,1425.7,1260.8,2686500,1425700,1260800,6.871394007,6.831731781,6.916243655
2022M11,185700,98100,87500,2686.5,1425.7,1260.8,2686500,1425700,1260800,6.912339475,6.880830469,6.940038071
2022M12,185900,98600,87300,2686.5,1425.7,1260.8,2686500,1425700,1260800,6.919784106,6.915900961,6.924175127
2023M01,185100,97800,87300,2719.1,1447.4,1271.7,2719100,1447400,1271700,6.807399507,6.756943485,6.86482661
2023M02,183500,97000,86600,2719.1,1447.4,1271.7,2719100,1447400,1271700,6.748556508,6.701671964,6.809782181
2023M03,182200,96400,85800,2719.1,1447.4,1271.7,2719100,1447400,1271700,6.700746571,6.660218323,6.746874263
2023M04,182000,96400,85600,2764.2,1452.5,1311.7,2764200,1452500,1311700,6.584183489,6.636833046,6.525882443
2023M05,182500,96600,85900,2764.2,1452.5,1311.7,2764200,1452500,1311700,6.602271905,6.65060241,6.548753526
2023M06,182400,96400,86000,2764.2,1452.5,1311.7,2764200,1452500,1311700,6.598654222,6.636833046,6.55637722
2023M07,182000,96700,85200,2784.4,1471.8,1312.6,2784400,1471800,1312600,6.536417181,6.570186167,6.490934024
2023M08,175000,95800,79200,2784.4,1471.8,1312.6,2784400,1471800,1312600,6.285016521,6.509036554,6.033825994
2023M09,178800,95600,83300,2784.4,1471.8,1312.6,2784400,1471800,1312600,6.421491165,6.495447751,6.346183148
2023M10,175500,94300,81200,2784.4,1471.8,1312.6,2784400,1471800,1312600,6.302973711,6.407120533,6.186195337
