Month,MDD.Growth,Underlying Economic Activity
2022M01,12.93936142,2.115448
2022M02,14.11431598,2.310289
2022M03,13.1617993,1.793061
2022M04,11.64725458,1.07893
2022M05,10.16527671,0.424046
2022M06,9.204430198,-0.075006
2022M07,9.004016374,-0.336688
2022M08,8.484063149,-0.095174
2022M09,6.736532548,-0.271867
2022M10,5.146728485,-0.409335
2022M11,4.610562785,-0.384863
2022M12,4.5902754,-0.197124
2023M01,4.454475263,-0.051152
2023M02,3.582277675,-0.171178
2023M03,3.365022097,-0.081132
