Quarter,Unemployment,Average
2015Q1,10.63333333,7.165
2015Q2,10.03333333,7.165
2015Q3,9.566666667,7.165
2015Q4,9.466666667,7.165
2016Q1,8.933333333,7.165
2016Q2,8.8,7.165
2016Q3,8.233333333,7.165
2016Q4,7.566666667,7.165
2017Q1,7.266666667,7.165
2017Q2,6.666666667,7.165
2017Q3,6.666666667,7.165
2017Q4,6.433333333,7.165
2018Q1,5.9,7.165
2018Q2,5.866666667,7.165
2018Q3,5.7,7.165
2018Q4,5.666666667,7.165
2019Q1,4.933333333,7.165
2019Q2,5.166666667,7.165
2019Q3,5,7.165
2019Q4,4.8,7.165
2020Q1,4.833333333,7.165
2020Q2,5.133333333,7.165
2020Q3,7.1,7.165
2020Q4,6.266666667,7.165
2021Q1,7.233333333,7.165
2021Q2,6.966666667,7.165
2021Q3,5.533333333,7.165
2021Q4,5.233333333,7.165
2022Q1,4.866666667,7.165
2022Q2,4.3,7.165
2022Q3,4.333333333,7.165
2022Q4,4.466666667,7.165
2023Q1,4.133333333,7.165
2023Q2,4.2,7.165
2023Q3,4.533333333,7.165
