Month,Youth,Total
1998M01,13.3,8.8
1998M02,13.1,9
1998M03,12.7,8.8
1998M04,11.9,8.2
1998M05,11.3,7.9
1998M06,10.9,7.6
1998M07,10.5,7.4
1998M08,10.2,7.2
1998M09,10.2,7.1
1998M10,10.1,6.9
1998M11,9.9,6.6
1998M12,10,6.5
1999M01,9.6,6.4
1999M02,9.3,6.3
1999M03,9.2,6.2
1999M04,8.9,6.1
1999M05,8.8,6.1
1999M06,8.5,5.8
1999M07,8.2,5.6
1999M08,8,5.4
1999M09,8,5.4
1999M10,7.8,5.4
1999M11,7.6,5.3
1999M12,7.5,5.2
2000M01,7.3,5
2000M02,7.2,4.8
2000M03,7,4.7
2000M04,7,4.7
2000M05,6.8,4.6
2000M06,6.7,4.5
2000M07,6.6,4.4
2000M08,6.5,4.2
2000M09,6.3,4.1
2000M10,6.2,3.9
2000M11,6.2,3.9
2000M12,6.3,3.9
2001M01,6.3,4
2001M02,6.4,4
2001M03,6.5,3.9
2001M04,6.7,3.9
2001M05,6.9,4
2001M06,7.2,4.1
2001M07,7.6,4.3
2001M08,7.7,4.4
2001M09,7.8,4.4
2001M10,7.9,4.4
2001M11,8,4.4
2001M12,7.9,4.4
2002M01,8,4.4
2002M02,8.3,4.5
2002M03,8.5,4.7
2002M04,8.6,4.6
2002M05,8.7,4.7
2002M06,8.4,4.6
2002M07,7.9,4.4
2002M08,7.8,4.4
2002M09,8.3,4.7
2002M10,9.1,5.1
2002M11,9.6,5.4
2002M12,9.7,5.3
2003M01,9.1,5
2003M02,8.8,4.8
2003M03,8.6,4.7
2003M04,8.6,4.8
2003M05,8.7,4.7
2003M06,8.9,4.9
2003M07,9.1,5
2003M08,9.1,5
2003M09,9,5
2003M10,8.7,4.8
2003M11,8.7,4.7
2003M12,8.9,4.8
2004M01,9.2,5.1
2004M02,9.3,5.2
2004M03,9.1,5.1
2004M04,8.6,4.8
2004M05,8.5,4.7
2004M06,8.6,4.5
2004M07,8.7,4.5
2004M08,8.8,4.5
2004M09,9,4.6
2004M10,8.9,4.7
2004M11,8.8,4.7
2004M12,8.7,4.7
2005M01,8.2,4.4
2005M02,8.1,4.3
2005M03,8.4,4.6
2005M04,8.7,4.8
2005M05,9,4.9
2005M06,8.9,4.9
2005M07,9,4.8
2005M08,9,4.7
2005M09,8.8,4.6
2005M10,8.6,4.5
2005M11,8.6,4.5
2005M12,8.6,4.6
2006M01,8.8,4.7
2006M02,9,4.7
2006M03,9.1,4.7
2006M04,9,4.7
2006M05,9,4.7
2006M06,9,4.8
2006M07,9.1,5
2006M08,9,5.1
2006M09,8.6,4.9
2006M10,8.1,4.6
2006M11,7.9,4.6
2006M12,8.1,4.7
2007M01,8.6,4.8
2007M02,8.9,4.9
2007M03,9.2,5
2007M04,9.4,5
2007M05,9.4,5
2007M06,9.4,5
2007M07,9,4.9
2007M08,8.9,4.9
2007M09,8.9,4.9
2007M10,9.1,5.1
2007M11,9.4,5.2
2007M12,9.7,5.3
2008M01,10,5.3
2008M02,10.3,5.3
2008M03,10.6,5.5
2008M04,10.8,5.6
2008M05,11.4,5.9
2008M06,12.4,6.4
2008M07,13.9,6.9
2008M08,15.1,7.4
2008M09,16,7.8
2008M10,16.5,8.1
2008M11,17.2,8.5
2008M12,18,9
2009M01,19.2,10.1
2009M02,20.4,10.9
2009M03,21.8,11.6
2009M04,23.2,12.2
2009M05,24.5,12.7
2009M06,25.1,12.9
2009M07,25.3,13
2009M08,25.4,13.2
2009M09,26.7,13.7
2009M10,27.1,13.8
2009M11,27.4,13.9
2009M12,27.7,13.8
2010M01,27.6,13.8
2010M02,27.3,13.7
2010M03,27.2,13.9
2010M04,27,14.2
2010M05,27.2,14.5
2010M06,27.2,14.4
2010M07,27,14.3
2010M08,27.3,14.4
2010M09,29.1,15
2010M10,30.3,15.6
2010M11,30.7,15.7
2010M12,30.5,15.7
2011M01,29.9,15.4
2011M02,29.2,15.1
2011M03,28.7,14.9
2011M04,28.5,14.9
2011M05,28.5,15
2011M06,28.9,15.2
2011M07,29.2,15.5
2011M08,30.4,15.6
2011M09,29.9,15.7
2011M10,30.4,15.6
2011M11,30.9,15.8
2011M12,31.4,16.2
2012M01,30.4,15.6
2012M02,31.8,16.1
2012M03,32,16.1
2012M04,31.6,15.7
2012M05,31.3,15.5
2012M06,31.3,15.4
2012M07,31.4,15.5
2012M08,31.1,15.5
2012M09,30.3,15.4
2012M10,29.9,15.2
2012M11,29.3,15
2012M12,29,14.9
2013M01,28.3,14.7
2013M02,28.2,14.6
2013M03,27.7,14.3
2013M04,27.8,14.5
2013M05,27.8,14.4
2013M06,27.1,14.1
2013M07,26.4,13.6
2013M08,25.9,13.3
2013M09,25.6,13.1
2013M10,25.5,12.9
2013M11,25.3,12.8
2013M12,25.5,12.8
2014M01,25.7,12.9
2014M02,26.2,12.9
2014M03,26,12.7
2014M04,25.3,12.4
2014M05,24.7,12.1
2014M06,23.9,12
2014M07,22.9,11.9
2014M08,22.1,11.7
2014M09,21.5,11.4
2014M10,20.8,11
2014M11,20.8,10.8
2014M12,21.5,10.8
2015M01,22.2,10.7
2015M02,22.7,10.7
2015M03,22,10.5
2015M04,20.7,10.3
2015M05,19.8,10
2015M06,19.3,9.9
2015M07,19.1,9.6
2015M08,19.1,9.5
2015M09,19.7,9.6
2015M10,19.9,9.6
2015M11,20,9.6
2015M12,19.1,9.2
2016M01,18.2,9.1
2016M02,17.7,8.9
2016M03,17,8.8
2016M04,17.1,8.9
2016M05,16.7,8.8
2016M06,16.6,8.7
2016M07,16.5,8.5
2016M08,16.5,8.3
2016M09,16.2,7.9
2016M10,16.5,7.7
2016M11,16.3,7.5
2016M12,16.2,7.5
2017M01,14.7,7.4
2017M02,14.2,7.3
2017M03,14,7.1
2017M04,14.2,6.8
2017M05,14.2,6.6
2017M06,14.7,6.6
2017M07,15.2,6.7
2017M08,15.3,6.6
2017M09,15,6.7
2017M10,14,6.6
2017M11,13.4,6.4
2017M12,13.9,6.3
2018M01,13.9,6
2018M02,14.3,5.9
2018M03,13.7,5.8
2018M04,13.6,5.9
2018M05,13.4,5.9
2018M06,13.4,5.8
2018M07,13.8,5.7
2018M08,14.1,5.7
2018M09,14,5.7
2018M10,13.9,5.8
2018M11,13.6,5.7
2018M12,13.5,5.5
2019M01,12.3,5
2019M02,12.3,4.9
2019M03,12.6,4.9
2019M04,13.3,5.1
2019M05,13.5,5.2
2019M06,13.5,5.2
2019M07,13.1,5.1
2019M08,12.6,5
2019M09,12.1,4.9
2019M10,11.1,4.8
2019M11,11,4.8
2019M12,11.4,4.8
2020M01,11.6,4.8
2020M02,11.9,4.8
2020M03,12.5,4.9
2020M04,13.5,4.7
2020M05,15,5
2020M06,17,5.7
2020M07,19.3,6.8
2020M08,19.7,7.3
2020M09,20.4,7.4
2020M10,17.1,6.4
2020M11,16.7,6.2
2020M12,15.4,6.2
2021M01,16.2,6.8
2021M02,17.7,7.3
2021M03,19.2,7.6
2021M04,20.4,7.5
2021M05,18.3,7
2021M06,15.7,6.4
2021M07,12.6,5.9
2021M08,10.7,5.5
2021M09,10.7,5.2
2021M10,11.9,5.3
2021M11,12.5,5.3
2021M12,11.2,5
2022M01,9.4,4.9
2022M02,8.2,4.6
2022M03,8.5,5
2022M04,9.1,4.5
2022M05,9.3,4.2
2022M06,10.4,4.2
2022M07,11.1,4.3
2022M08,11.3,4.4
2022M09,11.4,4.4
2022M10,10.9,4.5
2022M11,10.7,4.5
2022M12,10,4.3
2023M01,9.8,4.2
2023M02,9.8,4.1
2023M03,9.9,4.1
2023M04,10.1,4.1
2023M05,10,4.2
2023M06,10.7,4.4
2023M07,10.8,4.4
2023M08,11.2,4.5
2023M09,12.6,4.7
2023M10,12.8,4.8
2023M11,13,4.8
2023M12,13.4,4.9
