Month,EuroArea,US,UK,Ireland
2019M01,2.0,3.2,3.0,3.6
2019M02,2.7,3.4,2.9,3.8
2019M03,2.2,3.7,3.3,2.7
2019M04,1.9,3.4,3.8,3.7
2019M05,2.5,3.3,3.4,3.0
2019M06,2.8,3.3,3.1,3.2
2019M07,2.0,3.0,3.0,3.5
2019M08,2.5,3.4,3.3,3.2
2019M09,1.5,2.7,2.9,3.8
2019M10,2.2,2.8,2.7,3.6
2019M11,2.3,2.7,2.9,2.2
2019M12,1.0,2.2,2.6,1.9
2020M01,1.3,2.3,2.6,2.3
2020M02,1.7,2.5,2.7,2.5
2020M03,1.9,3.1,2.9,3.4
2020M04,2.9,3.2,4.4,4.8
2020M05,1.7,1.9,3.7,2.3
2020M06,1.4,1.8,2.9,0.0
2020M07,1.3,2.4,2.9,0.2
2020M08,1.4,2.6,2.8,1.2
2020M09,0.9,3.0,2.9,1.0
2020M10,1.0,3.3,3.0,2.4
2020M11,1.2,3.2,3.3,1.5
2020M12,0.9,3.6,3.0,1.0
2021M01,1.6,4.0,3.4,2.3
2021M02,1.3,4.5,3.2,0.7
2021M03,0.9,4.4,2.6,2.0
2021M04,1.1,5.0,1.0,1.5
2021M05,1.4,7.7,2.1,2.0
2021M06,2.1,7.7,2.8,2.9
2021M07,2.4,8.0,3.5,3.4
2021M08,1.6,8.3,3.8,3.0
2021M09,2.5,8.6,3.8,3.4
2021M10,2.9,9.1,4.2,3.3
2021M11,2.5,9.5,4.2,3.3
2021M12,3.1,9.1,4.7,4.9
2022M01,3.2,9.3,4.2,2.8
2022M02,2.9,9.0,4.7,3.7
2022M03,3.1,9.1,5.6,3.1
2022M04,3.8,9.0,6.3,4.1
2022M05,4.0,8.3,6.2,5.1
2022M06,5.1,8.0,6.2,4.3
2022M07,4.3,7.7,5.9,5.5
2022M08,5.0,7.5,6.1,5.4
2022M09,5.3,6.9,6.2,4.9
2022M10,5.1,6.6,6.0,4.0
2022M11,4.7,6.3,5.8,4.8
2022M12,4.8,6.3,5.9,4.0
2023M01,4.6,6.2,6.3,5.9
2023M02,4.6,6.3,6.5,4.9
2023M03,4.9,5.9,7.0,5.7
2023M04,4.9,5.3,7.5,4.6
2023M05,4.3,5.3,7.4,4.5
2023M06,4.5,4.9,7.4,3.9
2023M07,4.3,4.3,7.2,3.2
2023M08,4.0,4.3,7.3,4.2
2023M09,3.6,4.3,6.9,4.8
2023M10,3.8,4.0,6.7,4.0
2023M11,3.7,3.8,6.5,4.2
2023M12,3.9,3.6,6.5,2.8
